HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
574,"61-70","w",2,"23","Mischling gross",,,,"I",2013,"w","schwarz"
695,"41-50","m",6,"63","Labrador Retriever",,,,"I",2012,"w","braun"
893,"71-80","w",7,"71","Mittelschnauzer",,,,"I",2010,"w","schwarz"
916,"41-50","m",3,"34","Mischling klein",,,,"K",2015,"w","hellbraun"
1177,"51-60","m",10,"102","Shih Tzu",,,,"K",2011,"m","schwarz/weiss"
4054,"51-60","w",11,"111","Lagotto Romagnolo",,,,"I",2016,"w","weiss/beige"
4135,"41-50","w",9,"91","Mischling klein",,,,"K",2016,"w","schwarz"
4206,"71-80","w",8,"82","Havaneser",,,,"K",2016,"w","hellbraun/weiss"
4281,"61-70","w",9,"91","Chihuahua",,,,"K",2011,"w","hellbraun"
4388,"61-70","w",11,"115","Mops",,,,"K",2006,"m","beige"
4726,"51-60","m",5,"52","Mischling gross",,,,"I",2007,"m","schwarz"
4726,"51-60","m",5,"52","Golden Retriever",,,,"I",2013,"w","creme"
4747,"61-70","m",2,"24","Chihuahua",,,,"K",2013,"m","weiss/braun"
4850,"51-60","m",4,"42","Chihuahua",,,,"K",2013,"w","beige"
4862,"51-60","m",4,"42","Mops",,,,"K",2006,"m","braun"
5040,"61-70","m",10,"102","Labrador Retriever",,,,"I",2016,"w","gelb"
5088,"61-70","m",7,"72","Labrador Retriever",,,,"I",2014,"w","schwarz"
5113,"61-70","m",11,"119","Beagle",,,,"K",2010,"w","tricolor"
5113,"61-70","m",11,"119","Chihuahua",,,,"K",2017,"w","beige"
5225,"71-80","m",3,"34","Lagotto Romagnolo",,,,"I",2007,"m","braun"
5227,"71-80","m",10,"101","Border Terrier",,,,"K",2011,"w","tricolor"
5406,"51-60","m",6,"61","Französische Bulldogge",,,,"K",2013,"m","weiss/schwarz"
5740,"51-60","m",9,"92","Jack Russel Terrier",,,,"K",2015,"w","weiss/braun"
